cdvenda;cdempresa;cdcliente;cdcolaborador;dtvenda;dtestorno;dtaltera;cdusuarioaltera;cdenderecoentrega;orcamento;observacao;cdvendasituacao;cdconta;cdindicecorrecao;valorfrete;frete;cdterceiro;cdformapagamento;cdprazopagamento;cdpedidovenda;identificadorexterno;desconto;prazomedio;saldofinal;cdprojeto;identificadorcarregamento;bonificacao;taxavenda;cdlocalarmazenagem;identificador;expedicaovendasituacao;taxapedidovenda;cdmaterialtabelapreco;percentualdesconto;cdclienteindicacao;qtdeparcelas;cdvendaorcamento;observacaointerna;cdclientevalecompra;comodato;cdcontato;valorusadovalecompra;cdpedidovendatipo;origemwebservice;cdfornecedor;percentualrepresentacao;cdprazopagamentorepresentacao;cdformapagamentorepresentacao;cdcontarepresentacao;valorbrutorepresentacao;valordescontorepresentacao;presencacompradornfe;criacaofinalizada;aprovando;valoraproximadoimposto;limitecreditoexcedido;cdcentrocusto;valorfretecif;origemotr;cdenderecofaturamento;vendapendencianaonegociada;quantidadevolumes;sinalizadosemreserva;expedicaosituacao;cdparceiro;entregaecommercerealizada;intermediadornfe;cdintermediador;cdclienteremessa;incideiss;numeropedido;nsu;codigoautorizacao;operacaonfe;valorfretecte;emailautomaticofaturamentoenviadovendarealizada
54728;3;108;18981;03/12/2025;;19:41.1;238;102;;;2;;;0;1;;70;50;53794;;0;false;;;;false;0;1;2758;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54717;3;127;18981;03/12/2025;;00:22.5;238;121;;;2;2;;0;1;;2;49;53797;;0;false;;;;false;0;1;2749;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54722;3;64;18981;03/12/2025;;06:37.0;238;60;;;2;2;;0;1;;2;54;53795;;0;false;;;;false;0;1;2753;;;;;;;;;;false;2875;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54724;3;117;18981;03/12/2025;;07:06.9;238;111;;;2;2;;0;1;;2;58;53766;;0;false;;;;false;0;1;2754;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54723;5;131;373;03/12/2025;;58:47.9;373;125;;;2;;;0;2;;70;69;53801;;0;false;;;;false;0;2;870;;;;;;;;;;false;17362;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54729;5;77;373;03/12/2025;;58:34.2;373;73;;"USAR PRAZO DE PAGAMENTO
 60 DIAS"" NAS COMPRAS ATÉ R$: 1.000,00.  ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"''53, 60 e 67'' NAS COMPRAS A CIMA DE  R$: 1.000,00.""";2;3;;0;1;;2;80;53802;;0;false;;;;false;0;2;871;;;;;;;;;;false;410;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false;;;;;;;;;;
54725;3;98;18981;03/12/2025;;08:28.0;238;92;;;2;;;0;1;;70;54;53793;;;false;;;;false;0;1;2755;;;;0;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54726;3;98;18981;03/12/2025;;12:29.4;238;92;;;2;;;0;1;;70;54;53793;;;false;;;;false;0;1;2756;;;;0;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54730;5;2116;373;03/12/2025;;19:44.9;373;;;;2;3;;0;1;;2;49;53800;;0;false;;;;false;0;2;872;;;;;;;;;;false;2117;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54750;3;98;18981;04/12/2025;;29:46.4;238;92;;;2;;;0;1;;70;54;53793;;0;false;;;;false;0;1;2760;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54817;3;62;18981;04/12/2025;;24:05.2;238;58;;;2;;;0;1;;70;54;53857;;0;false;;;;false;0;1;2764;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54782;3;67;18981;04/12/2025;;33:04.8;238;63;;;2;2;;0;1;;2;49;53824;;0;false;;;;false;0;1;2761;;;;;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
54749;3;98;18981;04/12/2025;;27:08.9;238;92;;;2;;;0;1;;70;54;53793;;;false;;;;false;0;1;2759;;;;0;;;;;;false;;;1;;;;;;;0;0;4;true;;;;;0;;;;;false;;;;0;;;;;;;0;;false
