cdvenda;cdempresa;cdcliente;cdcolaborador;dtvenda;dtaltera;cdusuarioaltera;cdenderecoentrega;observacao;cdvendasituacao;cdconta;valorfrete;frete;cdformapagamento;cdprazopagamento;cdpedidovenda;desconto;prazomedio;bonificacao;taxavenda;cdlocalarmazenagem;identificador;percentualdesconto;observacaointerna;comodato;cdcontato;valorusadovalecompra;cdpedidovendatipo;valorbrutorepresentacao;valordescontorepresentacao;presencacompradornfe;valoraproximadoimposto;valorfretecif;sinalizadosemreserva;intermediadornfe;operacaonfe;valorfretecte;emailautomaticofaturamentoenviadovendarealizada
54851;3;80;18981.0;2025-05-12;;238;76.0;nao_informado;2.0;2;0.0;1.0;2.0;81.0;53825.0;0.0;false;false;0.0;1.0;2771;;nao_informado;false;862.0;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54852;3;122;18981.0;2025-05-12;;238;116.0;nao_informado;2.0;;0.0;1.0;70.0;55.0;53831.0;;false;false;0.0;1.0;2772;0.0;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54853;3;122;18981.0;2025-05-12;;238;116.0;nao_informado;2.0;;0.0;1.0;70.0;55.0;53831.0;0.0;false;false;0.0;1.0;2773;;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54854;5;18385;373.0;2025-05-12;2026-01-13 13:44:30;373;17986.0;nao_informado;2.0;3;0.0;2.0;2.0;48.0;53895.0;0.0;false;false;0.0;2.0;874;;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54855;3;135;18981.0;2025-05-12;;238;129.0;nao_informado;2.0;;0.0;1.0;70.0;49.0;53894.0;0.0;false;false;0.0;1.0;2774;;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54856;5;131;373.0;2025-05-12;2026-01-13 03:15:30;373;125.0;nao_informado;2.0;;0.0;2.0;70.0;69.0;53896.0;0.0;false;false;0.0;2.0;875;;nao_informado;false;17362.0;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54857;3;111;18981.0;2025-05-12;2026-01-13 16:00:30;238;105.0;nao_informado;2.0;;0.0;1.0;70.0;63.0;53893.0;0.0;false;false;0.0;1.0;2775;;nao_informado;false;1853.0;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54858;3;90;18981.0;2025-05-12;;238;86.0;nao_informado;5.0;2;0.0;1.0;2.0;57.0;53891.0;;false;false;0.0;1.0;2776;0.0;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54859;3;51;18981.0;2025-05-12;;238;47.0;nao_informado;2.0;;0.0;1.0;70.0;54.0;53764.0;;false;false;0.0;1.0;2777;0.0;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54881;3;63;18981.0;2025-06-12;2026-01-13 00:45:30;238;59.0;nao_informado;2.0;;0.0;1.0;70.0;48.0;53892.0;0.0;false;false;0.0;1.0;2778;;nao_informado;false;506.0;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54914;3;114;18981.0;2025-08-12;;238;108.0;nao_informado;2.0;;0.0;1.0;70.0;48.0;53927.0;0.0;false;false;0.0;1.0;2779;;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54953;3;55;18981.0;2025-08-12;;238;51.0;nao_informado;2.0;;0.0;1.0;70.0;50.0;53924.0;;false;false;0.0;1.0;2784;0.0;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54947;5;6307;373.0;2025-08-12;2026-01-13 08:54:24;373;6073.0;atenção - data de vencimento do boleto sempre as sexta-feira;2.0;3;0.0;2.0;2.0;49.0;53928.0;0.0;false;false;0.0;2.0;876;;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54954;3;55;18981.0;2025-08-12;;238;51.0;nao_informado;2.0;;0.0;1.0;70.0;50.0;53924.0;0.0;false;false;0.0;1.0;2785;;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54955;3;41;373.0;2025-08-12;;373;38.0;nao_informado;2.0;2;0.0;2.0;2.0;70.0;53932.0;0.0;false;false;0.0;1.0;2786;;nao_informado;false;466.0;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54948;5;77;373.0;2025-08-12;;373;73.0;"usar prazo de pagamento
 60 dias"" nas compras até r$: 1.000,00.";;;;;;;;;;;;;;;nao_informado;;;0.0;;;;;0.0;;;;;0.0;
54949;3;135;18981.0;2025-08-12;;238;129.0;nao_informado;2.0;;0.0;1.0;70.0;49.0;53930.0;0.0;false;false;0.0;1.0;2780;;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54950;3;127;18981.0;2025-08-12;;238;121.0;nao_informado;2.0;2;0.0;1.0;2.0;49.0;53926.0;0.0;false;false;0.0;1.0;2781;;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54951;3;118;18981.0;2025-08-12;;238;112.0;nao_informado;2.0;;0.0;1.0;70.0;377.0;53931.0;0.0;false;false;0.0;1.0;2782;;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54952;3;121;373.0;2025-08-12;;373;115.0;nao_informado;2.0;;0.0;1.0;70.0;50.0;53769.0;0.0;false;false;0.0;1.0;2783;;nao_informado;false;2714.0;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54980;3;111;18981.0;2025-09-12;;238;105.0;nao_informado;2.0;;0.0;1.0;70.0;63.0;53961.0;0.0;false;false;0.0;1.0;2787;;nao_informado;false;1853.0;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
55014;3;62;18981.0;2025-09-12;2026-01-13 19:59:36;238;58.0;nao_informado;2.0;;0.0;1.0;70.0;54.0;53963.0;0.0;false;false;0.0;1.0;2790;;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54981;3;72;18981.0;2025-09-12;2026-01-13 07:38:42;238;68.0;nao_informado;2.0;;0.0;1.0;70.0;50.0;53960.0;0.0;false;false;0.0;1.0;2788;;nao_informado;false;18718.0;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
55015;3;73;18981.0;2025-09-12;;238;69.0;nao_informado;2.0;;0.0;1.0;70.0;49.0;53594.0;0.0;false;false;0.0;1.0;2791;;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
55016;3;73;18981.0;2025-09-12;;238;69.0;nao_informado;2.0;;0.0;1.0;70.0;49.0;53595.0;0.0;false;false;0.0;1.0;2792;;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
54982;5;131;373.0;2025-09-12;;373;125.0;nao_informado;2.0;;0.0;2.0;70.0;69.0;53962.0;0.0;false;false;0.0;2.0;878;;nao_informado;false;17362.0;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
55013;3;62;18981.0;2025-09-12;;238;58.0;nao_informado;2.0;;0.0;1.0;70.0;54.0;53958.0;0.0;false;false;0.0;1.0;2789;;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
55046;3;51;18981.0;2025-10-12;;238;47.0;nao_informado;2.0;;0.0;1.0;70.0;54.0;53772.0;0.0;false;false;0.0;1.0;2793;;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
55116;3;98;18981.0;2025-10-12;;238;92.0;nao_informado;2.0;;0.0;1.0;70.0;54.0;53992.0;;false;false;0.0;1.0;2801;0.0;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
55047;3;51;18981.0;2025-10-12;;238;47.0;nao_informado;2.0;;0.0;1.0;70.0;54.0;53957.0;0.0;false;false;0.0;1.0;2794;;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
55079;3;51;18981.0;2025-10-12;2026-01-13 12:21:36;238;47.0;nao_informado;2.0;;0.0;1.0;70.0;54.0;53956.0;;false;false;0.0;1.0;2795;0.0;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
55082;3;51;18981.0;2025-10-12;2026-01-13 10:25:12;238;47.0;nao_informado;2.0;;0.0;1.0;70.0;54.0;53956.0;;false;false;0.0;1.0;2797;0.0;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
55112;3;91;18981.0;2025-10-12;2026-01-13 21:46:12;238;87.0;nao_informado;2.0;;0.0;1.0;70.0;48.0;53989.0;0.0;false;false;0.0;1.0;2798;;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
55115;3;99;18981.0;2025-10-12;2026-01-13 22:53:00;238;93.0;nao_informado;2.0;;0.0;1.0;70.0;54.0;53991.0;0.0;false;false;0.0;1.0;2800;;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
55117;3;98;18981.0;2025-10-12;;238;92.0;nao_informado;2.0;;0.0;1.0;70.0;54.0;53992.0;0.0;false;false;0.0;1.0;2802;;nao_informado;false;;0.0;1;0.0;0.0;4.0;0.0;0.0;false;0.0;0.0;0.0;false
